"token","codigo","valor","linha","coluna"
"palavra_reservada","101","int","1","2"
"identificador","201","main","1","6"
"delimitador","301","(","1","10"
"delimitador","302",")","1","11"
"delimitador","303","{","1","13"
"palavra_reservada","101","int","2","5"
"identificador","202","a","2","9"
"operador","401","=","2","11"
"numero","501","5","2","13"
"delimitador","304",";","2","14"
"palavra_reservada","101","int","3","5"
"identificador","203","b","3","9"
"operador","401","=","3","11"
"numero","502","10","3","13"
"delimitador","304",";","3","15"
"palavra_reservada","101","int","4","5"
"identificador","204","soma","4","9"
"operador","401","=","4","14"
"identificador","202","a","4","16"
"operador","402","+","4","18"
"identificador","203","b","4","20"
"delimitador","304",";","4","21"
"palavra_reservada","102","return","5","5"
"identificador","204","soma","5","12"
"delimitador","304",";","5","16"
"delimitador","305","}","6","1"
