"token","codigo","valor","linha","coluna"
"palavra_reservada","101","int","1","1"
"identificador","201","main","1","5"
"delimitador","301","(","1","9"
"delimitador","302",")","1","10"
"delimitador","303","{","1","12"
"palavra_reservada","101","int","2","3"
"identificador","202","a","2","7"
"operador","401","=","2","9"
"numero","501","1","2","11"
"operador","402","+","2","13"
"numero","502","2","3","11"
"operador","402","+","3","13"
"numero","503","3","4","11"
"delimitador","304",";","4","12"
"palavra_reservada","102","const","5","3"
"palavra_reservada","103","char","5","9"
"operador","403","*","5","13"
"identificador","203","s","5","15"
"operador","401","=","5","17"
"string","601","""split\\\
line""","5","19"
"delimitador","304",";","6","6"
"palavra_reservada","104","return","7","3"
"identificador","202","a","7","10"
"operador","402","+","7","12"
"delimitador","301","(","7","14"
"palavra_reservada","101","int","7","15"
"delimitador","302",")","7","18"
"identificador","203","s","7","19"
"delimitador","305","[","7","20"
"numero","504","0","7","21"
"delimitador","306","]","7","22"
"delimitador","304",";","7","23"
"delimitador","307","}","8","1"
