"tipo","linha","coluna","mensagem","contexto"
"LÉXICO","2","1","Caractere inválido: ""#"" (código 35)","#define IN"
"LÉXICO","2","1","Caractere inválido: ""#"" (código 35)","#define IN"
"SEMÂNTICO","2","9","Identificador ""INC"" não foi declarado","INC"
"SEMÂNTICO","2","13","Identificador ""x"" não foi declarado","x"
"SEMÂNTICO","4","28","Identificador ""b"" não foi declarado","b"
"SEMÂNTICO","6","3","Identificador ""std"" não foi declarado","std"
"SEMÂNTICO","6","8","Identificador ""string"" não foi declarado","string"
"SEMÂNTICO","6","15","Identificador ""text"" não foi declarado","text"
"SEMÂNTICO","6","35","Identificador ""to_string"" não foi declarado","to_string"
"SEMÂNTICO","10","27","Identificador ""cout"" não foi declarado","cout"
"SEMÂNTICO","10","48","Identificador ""endl"" não foi declarado","endl"
"SEMÂNTICO","10","61","Identificador ""size_t"" não foi declarado","size_t"
"SEMÂNTICO","10","68","Identificador ""n"" não foi declarado","n"
"SEMÂNTICO","10","77","Identificador ""size"" não foi declarado","size"
