"token","codigo","valor","linha","coluna"
"identificador","201","define","2","2"
"identificador","202","INC","2","9"
"delimitador","301","(","2","12"
"identificador","203","x","2","13"
"delimitador","302",")","2","14"
"delimitador","301","(","2","16"
"delimitador","301","(","2","17"
"identificador","203","x","2","18"
"delimitador","302",")","2","19"
"operador","401","+","2","20"
"numero","501","1","2","21"
"delimitador","302",")","2","22"
"palavra_reservada","101","int","3","1"
"identificador","204","main","3","5"
"delimitador","301","(","3","9"
"delimitador","302",")","3","10"
"delimitador","303","{","3","12"
"palavra_reservada","101","int","4","16"
"identificador","205","a","4","20"
"operador","402","=","4","22"
"numero","502","10","4","24"
"delimitador","304",",","4","26"
"identificador","206","b","4","28"
"operador","402","=","4","30"
"numero","503","20","4","32"
"delimitador","305",";","4","34"
"palavra_reservada","101","int","5","3"
"identificador","207","arr","5","7"
"delimitador","306","[","5","10"
"numero","504","3","5","11"
"delimitador","307","]","5","12"
"operador","402","=","5","14"
"delimitador","303","{","5","16"
"numero","501","1","5","17"
"delimitador","304",",","5","18"
"numero","505","2","5","20"
"delimitador","304",",","5","21"
"numero","504","3","5","23"
"delimitador","308","}","5","24"
"delimitador","305",";","5","25"
"identificador","208","std","6","3"
"operador","403","::","6","6"
"identificador","209","string","6","8"
"identificador","210","text","6","15"
"operador","402","=","6","20"
"string","601","""A: ""","6","22"
"operador","401","+","6","28"
"identificador","208","std","6","30"
"operador","403","::","6","33"
"identificador","211","to_string","6","35"
"delimitador","301","(","6","44"
"identificador","205","a","6","45"
"delimitador","302",")","6","46"
"operador","401","+","6","48"
"string","602",""", B: ""","6","50"
"operador","401","+","6","58"
"identificador","208","std","6","60"
"operador","403","::","6","63"
"identificador","211","to_string","6","65"
"delimitador","301","(","6","74"
"identificador","206","b","6","75"
"delimitador","302",")","6","76"
"delimitador","305",";","6","77"
"identificador","205","a","8","3"
"operador","402","=","8","5"
"delimitador","301","(","8","7"
"identificador","207","arr","8","8"
"delimitador","306","[","8","11"
"numero","506","0","8","12"
"delimitador","307","]","8","13"
"operador","404","+=","8","15"
"numero","505","2","8","18"
"delimitador","302",")","8","19"
"operador","405","*","8","21"
"delimitador","301","(","8","23"
"identificador","207","arr","8","24"
"delimitador","306","[","8","27"
"numero","501","1","8","28"
"delimitador","307","]","8","29"
"operador","406","-","8","31"
"identificador","207","arr","8","33"
"delimitador","306","[","8","36"
"numero","505","2","8","37"
"delimitador","307","]","8","38"
"delimitador","302",")","8","39"
"delimitador","305",";","8","40"
"identificador","205","a","10","3"
"operador","402","=","10","5"
"delimitador","301","(","10","7"
"identificador","205","a","10","8"
"operador","407","<<","10","10"
"numero","501","1","10","13"
"delimitador","302",")","10","14"
"operador","408",">>","10","16"
"numero","505","2","10","19"
"delimitador","305",";","10","20"
"identificador","208","std","10","22"
"operador","403","::","10","25"
"identificador","212","cout","10","27"
"operador","407","<<","10","32"
"identificador","210","text","10","35"
"operador","407","<<","10","40"
"identificador","208","std","10","43"
"operador","403","::","10","46"
"identificador","213","endl","10","48"
"delimitador","305",";","10","52"
"operador","403","::","10","54"
"identificador","208","std","10","56"
"operador","403","::","10","59"
"identificador","214","size_t","10","61"
"identificador","215","n","10","68"
"operador","402","=","10","70"
"identificador","210","text","10","72"
"operador","409",".","10","76"
"identificador","216","size","10","77"
"delimitador","301","(","10","81"
"delimitador","302",")","10","82"
"delimitador","305",";","10","83"
"palavra_reservada","101","int","12","3"
"identificador","217","c","12","7"
"operador","402","=","12","9"
"delimitador","301","(","12","11"
"identificador","205","a","12","12"
"operador","410",">","12","14"
"identificador","206","b","12","16"
"delimitador","302",")","12","17"
"operador","411","?","12","19"
"identificador","205","a","12","21"
"operador","412",":","12","23"
"identificador","206","b","12","25"
"delimitador","305",";","12","26"
"palavra_reservada","101","int","14","3"
"identificador","218","d","14","7"
"operador","402","=","14","9"
"identificador","202","INC","14","11"
"delimitador","301","(","14","14"
"identificador","217","c","14","15"
"delimitador","302",")","14","16"
"delimitador","305",";","14","17"
"palavra_reservada","102","return","15","3"
"identificador","205","a","15","10"
"operador","401","+","15","12"
"identificador","206","b","15","14"
"operador","401","+","15","16"
"identificador","217","c","15","18"
"operador","401","+","15","20"
"identificador","218","d","15","22"
"operador","401","+","15","24"
"delimitador","301","(","15","26"
"palavra_reservada","101","int","15","27"
"delimitador","302",")","15","30"
"identificador","215","n","15","31"
"delimitador","305",";","15","32"
"delimitador","308","}","16","1"
