"token","codigo","valor","linha","coluna"
"palavra_reservada","101","int","1","1"
"identificador","201","main","1","5"
"delimitador","301","(","1","9"
"delimitador","302",")","1","10"
"delimitador","303","{","1","12"
"palavra_reservada","101","int","2","3"
"identificador","202","a","2","7"
"operador","401","=","2","9"
"numero","501","1","2","11"
"delimitador","304",",","2","12"
"identificador","203","b","2","14"
"operador","401","=","2","16"
"numero","502","2","2","18"
"delimitador","305",";","2","19"
"palavra_reservada","101","int","3","3"
"identificador","204","x","3","7"
"operador","401","=","3","9"
"identificador","202","a","3","11"
"operador","402","+","3","13"
"identificador","203","b","3","15"
"operador","403","-","3","17"
"numero","503","3","3","19"
"operador","404","*","3","21"
"numero","504","4","3","23"
"operador","405","/","3","25"
"numero","502","2","3","27"
"operador","406","%","3","29"
"numero","505","5","3","31"
"delimitador","305",";","3","32"
"palavra_reservada","102","bool","4","3"
"identificador","205","eq","4","8"
"operador","401","=","4","11"
"delimitador","301","(","4","13"
"identificador","202","a","4","14"
"operador","407","==","4","16"
"identificador","203","b","4","19"
"delimitador","302",")","4","20"
"operador","408","||","4","22"
"delimitador","301","(","4","25"
"identificador","202","a","4","26"
"operador","409","!=","4","28"
"identificador","203","b","4","31"
"delimitador","302",")","4","32"
"operador","410","&&","4","34"
"delimitador","301","(","4","37"
"identificador","202","a","4","38"
"operador","411","<","4","40"
"identificador","203","b","4","42"
"delimitador","302",")","4","43"
"operador","410","&&","4","45"
"delimitador","301","(","4","48"
"identificador","202","a","4","49"
"operador","412","<=","4","51"
"identificador","203","b","4","54"
"delimitador","302",")","4","55"
"operador","410","&&","4","57"
"delimitador","301","(","4","60"
"identificador","202","a","4","61"
"operador","413",">","4","63"
"identificador","203","b","4","65"
"delimitador","302",")","4","66"
"operador","410","&&","4","68"
"delimitador","301","(","4","71"
"identificador","202","a","4","72"
"operador","414",">=","4","74"
"identificador","203","b","4","77"
"delimitador","302",")","4","78"
"delimitador","305",";","4","79"
"palavra_reservada","101","int","5","3"
"identificador","206","y","5","7"
"operador","401","=","5","9"
"identificador","202","a","5","11"
"operador","415","++","5","12"
"operador","402","+","5","15"
"operador","416","--","5","17"
"identificador","203","b","5","19"
"delimitador","305",";","5","20"
"palavra_reservada","101","int","6","3"
"identificador","207","z","6","7"
"operador","401","=","6","9"
"delimitador","301","(","6","11"
"identificador","202","a","6","12"
"operador","417","<<","6","14"
"numero","502","2","6","17"
"delimitador","302",")","6","18"
"operador","402","+","6","20"
"delimitador","301","(","6","22"
"identificador","203","b","6","23"
"operador","418",">>","6","25"
"numero","501","1","6","28"
"delimitador","302",")","6","29"
"delimitador","305",";","6","30"
"identificador","202","a","7","3"
"operador","419","&=","7","5"
