"token","codigo","valor","linha","coluna"
"palavra_reservada","101","int","1","1"
"identificador","201","main","1","5"
"delimitador","301","(","1","9"
"delimitador","302",")","1","10"
"delimitador","303","{","1","12"
"palavra_reservada","102","const","2","3"
"palavra_reservada","103","char","2","9"
"operador","401","*","2","13"
"identificador","202","s1","2","15"
"operador","402","=","2","18"
"string","601","""hello\\nworld""","2","20"
"delimitador","304",";","2","35"
"palavra_reservada","102","const","3","3"
"palavra_reservada","103","char","3","9"
"operador","401","*","3","13"
"identificador","203","s2","3","15"
"operador","402","=","3","18"
"string","602","""quote: \"" and backslash: \\""","3","20"
"delimitador","304",";","3","49"
"palavra_reservada","103","char","4","3"
"identificador","204","c1","4","8"
"operador","402","=","4","11"
"caractere","701","'\''","4","13"
"delimitador","304",";","4","17"
"palavra_reservada","103","char","5","3"
"identificador","205","c2","5","8"
"operador","402","=","5","11"
"caractere","702","'\\'","5","13"
"delimitador","304",";","5","17"
"palavra_reservada","102","const","6","3"
"palavra_reservada","103","char","6","9"
"operador","401","*","6","13"
"identificador","206","multi","6","15"
"operador","402","=","6","21"
"string","603","""line1\n""","6","23"
"string","604","""line2""","6","33"
"delimitador","304",";","6","40"
"palavra_reservada","104","return","7","3"
"delimitador","301","(","7","10"
"palavra_reservada","101","int","7","11"
"delimitador","302",")","7","14"
"delimitador","301","(","7","15"
"identificador","202","s1","7","16"
"delimitador","305","[","7","18"
"numero","501","0","7","19"
"delimitador","306","]","7","20"
"operador","403","+","7","22"
"identificador","203","s2","7","24"
"delimitador","305","[","7","26"
"numero","501","0","7","27"
"delimitador","306","]","7","28"
"operador","403","+","7","30"
"identificador","204","c1","7","32"
"operador","403","+","7","35"
"identificador","205","c2","7","37"
"operador","403","+","7","40"
"identificador","206","multi","7","42"
"delimitador","305","[","7","47"
"numero","501","0","7","48"
"delimitador","306","]","7","49"
"delimitador","302",")","7","50"
"delimitador","304",";","7","51"
"delimitador","307","}","8","1"
